suscripcion_id,cliente_id,paquete,plan_internet,plan_tv,plan_telefonia,addon_1,addon_2,precio_mensual_mxn,estatus,motivo_cancelacion,fecha_inicio,fecha_fin,contrato_meses
SUS-200001,CLI-100122,Triple Play Básico,100 Mbps,TV Básico (80 canales),Nacional + 100 min LD,Ninguno,WiFi Mesh Extender,722.8,En Instalación,N/A,2023-05-16,,24
SUS-200002,CLI-100143,Solo Internet,500 Mbps,N/A,N/A,Paramount+,Ninguno,322.72,Activo,N/A,2022-09-21,,24
SUS-200003,CLI-100217,Doble Play TV+Internet,500 Mbps,TV Premium (200+ canales),N/A,HBO Max,Ninguno,629.88,Activo,N/A,2022-02-19,,6
SUS-200004,CLI-100049,Solo Internet,10 Mbps,N/A,N/A,Velocidad Extra 50Mbps,Ninguno,362.54,Cancelado,Cambio a competencia,2022-06-07,2023-07-12,12
SUS-200005,CLI-100247,Solo TV,N/A,TV Básico (80 canales),N/A,Star+,Seguridad Digital,348.16,Activo,N/A,2025-05-15,,12
SUS-200006,CLI-100142,Doble Play TV+Internet,50 Mbps,TV Estándar (120 canales),N/A,Velocidad Extra 50Mbps,Ninguno,602.84,Cancelado,Cambio a competencia,2024-04-08,2025-05-18,24
SUS-200007,CLI-100120,Triple Play Premium,50 Mbps,TV Estándar (120 canales),Nacional Ilimitado,WiFi Mesh Extender,Star+,917.29,En Instalación,N/A,2025-04-07,,12
SUS-200008,CLI-100190,Triple Play Básico,50 Mbps,TV Básico (80 canales),Nacional Ilimitado,Paramount+,Ninguno,769.94,Activo,N/A,2024-09-06,,12
SUS-200009,CLI-100128,Solo Internet,100 Mbps,N/A,N/A,Paramount+,Velocidad Extra 50Mbps,349.47,Cancelado,No proporcionado,2023-10-14,2025-05-28,18
SUS-200010,CLI-100044,Triple Play Básico,200 Mbps,TV Básico (80 canales),Local Ilimitado,Disney+,DVR en la Nube,882.56,Cancelado,No proporcionado,2025-06-23,2025-11-20,6
SUS-200011,CLI-100196,Triple Play Premium,20 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Netflix,HBO Max,1048.28,Activo,N/A,2022-08-05,,24
SUS-200012,CLI-100169,Doble Play Internet+Teléfono,10 Mbps,N/A,Nacional + 100 min LD,DVR en la Nube,Ninguno,615.66,Activo,N/A,2025-12-19,,18
SUS-200013,CLI-100005,Solo Internet,10 Mbps,N/A,N/A,WiFi Mesh Extender,Disney+,574.41,En Instalación,N/A,2024-10-29,,12
SUS-200014,CLI-100062,Triple Play Básico,10 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Ninguno,Ninguno,736.7,Suspendido,N/A,2022-10-30,2024-03-09,12
SUS-200015,CLI-100179,Triple Play Básico,10 Mbps,TV Básico (80 canales),Nacional Ilimitado,Soporte VIP,Soporte VIP,712.78,Activo,N/A,2020-11-26,,24
SUS-200016,CLI-100015,Solo TV,N/A,TV Estándar (120 canales),N/A,Netflix,Ninguno,410.23,Activo,N/A,2021-12-02,,18
SUS-200017,CLI-100145,Triple Play Premium,500 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Star+,Ninguno,1007.44,En Instalación,N/A,2020-06-23,,6
SUS-200018,CLI-100176,Doble Play TV+Internet,10 Mbps,TV Básico (80 canales),N/A,Disney+,Paquete Deportes,625.11,En Instalación,N/A,2020-05-14,,24
SUS-200019,CLI-100238,Triple Play Premium,500 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Multiroom TV,Canales Premium,1052.54,Activo,N/A,2022-09-11,,12
